search URL:,https://patents.google.com/?assignee=Tesla%252c+Inc.&before=priority:20200101&after=priority:20120101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9026405-B2,Systems and methods for home energy auditing ,Solarcity Corporation,Neil F. Buckley,2012-03-28,2012-03-28,2015-05-05,2015-05-05,https://patents.google.com/patent/US9026405B2/en,https://patentimages.storage.googleapis.com/95/f2/1b/77c4a8ae2e6108/US09026405-20150505-D00000.png
JP-2019058066-A,Rotor assembly with electron beam welded end caps ,"テスラ，インコーポレイテッド, Tesla Inc","フレッド ネルソン デビッド, Fred Nelson David, フレッド  ネルソン デビッド, フィリップ ルアン シイ−ペルン, Phillip Luan Shyi-Perng, フィリップ  ルアン シイ−ペルン, マーカム ピアース エドウィン, Marcum Pearce Edwin, マーカム  ピアース エドウィン, ランドール フォン ウィリアム, Randall Fong William, ランドール  フォン ウィリアム",2013-05-18,2018-12-11,2019-04-11,,https://patents.google.com/patent/JP2019058066A/en,https://patentimages.storage.googleapis.com/c6/dd/1a/c4da3c2b9d9c42/2019058066-3.png
US-10194829-B2,Fast scanning based on magnetic resonance history ,"Q Bio, Inc.","Jeffrey Howard Kaditz, Andrew Gettings STEVENS",2015-07-07,2016-05-31,2019-02-05,2019-02-05,https://patents.google.com/patent/US10194829B2/en,https://patentimages.storage.googleapis.com/2d/61/b6/6b327c51ce6eee/US10194829-20190205-D00000.png
US-9958521-B2,Field-invariant quantitative magnetic-resonance signatures ,"Q Bio, Inc.","Jeffrey Howard Kaditz, Andrew Gettings STEVENS",2015-07-07,2016-04-03,2018-05-01,2018-05-01,https://patents.google.com/patent/US9958521B2/en,https://patentimages.storage.googleapis.com/b9/b6/c0/435eaf035cfba5/US09958521-20180501-D00000.png
CA-2877688-C,Tunable materials ,"Tesla Nanocoatings, Inc., Jorma Virtanen",Jorma Virtanen,2012-06-21,2013-04-30,2020-05-05,2020-05-05,https://patents.google.com/patent/CA2877688C/en,
US-9428903-B2,Flashing system for mounting photovoltaic arrays onto tile roofs ,Solarcity Corporation,"Jack Raymond West, Emil Johansen, David Molina",2013-09-13,2014-09-15,2016-08-30,2016-08-30,https://patents.google.com/patent/US9428903B2/en,https://patentimages.storage.googleapis.com/e1/17/32/2dc7aeb0991d24/US09428903-20160830-D00000.png
US-9906188-B2,Photovoltaic mounting system ,Solarcity Corporation,"Charles Almy, Tyrus Hudson, David Molina, Jack West",2015-01-30,2015-08-28,2018-02-27,2018-02-27,https://patents.google.com/patent/US9906188B2/en,https://patentimages.storage.googleapis.com/79/9d/ee/175e2ac2a722a6/US09906188-20180227-D00000.png
US-9577227-B2,Cell module assemblies ,"Tesla Motors, Inc.","Robert D. Sumpf, Ernest Villanueva, David E. Hegeman, Satvik Vipin Batavia, Ganesh Singh, Alex Prilutsky, Scott I. Kohn, Bruce P. Edwards, Peter Tennessen",2013-10-17,2013-10-17,2017-02-21,2017-02-21,https://patents.google.com/patent/US9577227B2/en,https://patentimages.storage.googleapis.com/9e/a1/c4/ac7cfe7761c7a4/US09577227-20170221-D00000.png
US-10199804-B2,Busbar locating component ,"Tesla, Inc.","Robert James Ramm, Dino Sasaridis, Colin Campbell, Wenjun Liu",2014-12-01,2014-12-01,2019-02-05,2019-02-05,https://patents.google.com/patent/US10199804B2/en,https://patentimages.storage.googleapis.com/c9/99/07/1c5c77a79be228/US10199804-20190205-D00000.png
US-8906541-B2,Battery module with integrated thermal management system ,"Tesla Motors, Inc.","Andreas Faass, Eric Clough",2012-01-27,2012-01-27,2014-12-09,2014-12-09,https://patents.google.com/patent/US8906541B2/en,https://patentimages.storage.googleapis.com/20/9b/4c/464e7ae8301920/US08906541-20141209-D00000.png
